time,prcp,pres,snow,tavg,tmax,tmin,tsun,wdir,wpgt,wspd
2015-08-12,0.0,1016.125,,25.5,33.75,18.025,,,,3.95
2015-08-13,0.0,1014.875,,25.975,34.4,18.225,,,,4.25
2015-08-14,1.0,1010.275,,25.375,33.525,19.125,,,,3.1
2015-08-15,2.0,1008.075,,23.975,31.325,19.95,,123.5,,5.8
2015-08-16,23.5,1007.475,,21.125,27.45,17.225,,162.3333,,5.8
2015-08-17,8.45,1007.775,,19.05,21.25,17.525,,301.0,,7.3333
2015-08-18,0.1,1011.825,,20.95,26.525,17.15,,191.0,,4.7667
2015-08-19,33.5,1014.775,,18.375,21.375,16.475,,120.5,,5.5
2015-08-20,2.55,1018.85,,18.6,22.4,15.95,,14.5,,7.8
2015-08-21,0.1,1022.175,,18.525,21.95,15.0,,32.0,,7.5
2015-08-22,0.0,1019.3,,18.725,24.8,13.225,,46.0,,4.95
2015-08-23,0.0,1015.575,,18.8,24.6,13.2,,173.0,,6.95
2015-08-24,3.1,1013.925,,19.55,23.475,15.5,,183.6667,,7.3667
2015-08-25,38.15,1016.25,,19.225,25.425,16.05,,52.0,,9.1
2015-08-26,0.0,1020.1,,19.55,25.7,14.675,,113.0,,11.65
2015-08-27,0.0,1017.625,,20.85,28.7,14.2,,189.0,,6.35
2015-08-28,0.0,1018.275,,22.325,29.95,14.6,,234.0,,3.5
2015-08-29,0.0,1021.5333,,23.475,31.4,16.225,,,,2.5
2015-08-30,0.0,1020.4,,23.525,31.45,15.825,,195.0,,4.35
2015-08-31,0.0,1016.4,,23.875,31.125,17.525,,,,6.6
2015-09-01,0.0,1012.1,,24.1,30.975,16.2,,210.0,,7.15
2015-09-02,0.5,1012.05,,22.275,26.975,18.2,,71.0,,5.85
2015-09-03,10.7,1013.05,,20.75,25.0,18.0,,108.0,,4.15
2015-09-04,22.8,1013.45,,19.375,22.2,16.9,,201.6667,,5.4667
2015-09-05,27.05,1012.55,,16.25,19.2,13.35,,87.6667,,9.4667
2015-09-06,0.15,1017.8,,15.3,21.4,11.05,,145.3333,,9.8667
2015-09-07,0.0,1022.0,,14.6,21.075,9.25,,48.0,,8.3
2015-09-08,0.0,1022.35,,15.125,20.975,9.25,,73.5,,6.25
2015-09-09,0.0,1020.1,,15.0,20.725,9.825,,30.5,,8.85
2015-09-10,0.0,1018.9,,15.05,19.85,10.075,,39.0,,12.5
2015-09-11,0.0,1020.125,,15.875,21.225,12.325,,119.3333,,6.8667
2015-09-12,0.0,1021.3,,16.7667,23.7667,10.6333,,181.0,,4.0
2015-09-13,0.0,1017.9,,18.6333,24.4667,12.3,,,,4.0
2015-09-14,1.2,1010.9,,20.8667,26.0,16.4667,,92.0,,9.5
2015-09-15,0.0,1011.3,,21.6667,26.6333,17.8667,,81.0,,5.6
2015-09-16,10.9,1010.125,,21.25,25.85,17.275,,224.5,,7.6333
2015-09-17,0.0,1009.1,,24.05,29.575,19.8,,174.6667,,11.3667
2015-09-18,0.1,1013.825,,22.625,28.625,18.1,,17.0,,4.15
2015-09-19,0.4,1017.45,,19.675,22.5,17.225,,99.0,,5.6
2015-09-20,0.0,1014.0,,19.1333,23.2,16.4667,,25.5,,17.45
2015-09-21,0.0,1017.325,,14.85,22.55,10.175,,200.5,,9.8
2015-09-22,0.0,1011.65,,14.3,21.325,7.9,,121.5,,8.25
2015-09-23,30.3,1008.15,,15.5,22.6,10.45,,122.3333,,8.6
2015-09-24,9.95,1014.35,,13.325,15.3,11.35,,97.0,,20.8667
2015-09-25,5.95,1015.675,,14.1,15.9,12.825,,300.0,,9.6333
2015-09-26,0.0,1019.075,,15.3,19.0,13.175,,45.5,,8.1
2015-09-27,0.0,1024.325,,14.4,17.4,12.35,,34.0,,12.9
2015-09-28,0.0,1028.225,,12.975,16.95,9.55,,79.25,,11.9
2015-09-29,0.0,1029.025,,13.325,17.525,9.1,,83.5,,13.05
2015-09-30,0.05,1029.525,,12.0,15.025,9.8,,42.0,,16.0
2015-10-01,0.0,1029.65,,12.425,16.05,9.825,,74.5,,12.4
2015-10-02,0.0,1027.375,,13.6,17.775,10.4,,35.0,,13.55
2015-10-03,7.5,1022.75,,13.725,19.525,9.875,,159.0,,8.0
2015-10-04,3.8,1019.175,,15.9,19.925,12.075,,210.0,,8.5
2015-10-05,3.95,1016.75,,14.9,21.75,10.775,,207.5,,4.2
2015-10-06,15.0,1012.45,,13.85,17.3,10.35,,240.0,,2.55
2015-10-07,7.5,1011.05,,15.125,16.575,14.3,,17.0,,6.3667
2015-10-08,0.4,1015.7,,15.25,18.125,13.55,,30.0,,7.95
2015-10-09,0.0,1018.65,,14.85,17.525,12.725,,80.5,,6.65
2015-10-10,4.15,1014.375,,13.0,14.275,12.025,,45.0,,15.3
2015-10-11,2.5,1008.575,,11.425,13.25,9.475,,64.75,,9.875
2015-10-12,0.3,1016.4,,9.825,12.575,7.375,,92.3333,,5.225
2015-10-13,12.35,1016.775,,10.025,11.025,8.85,,66.0,,4.2667
2015-10-14,20.65,1012.175,,10.675,12.35,9.15,,34.0,,12.55
2015-10-15,13.9,1011.1,,11.225,13.125,9.375,,69.0,,6.8333
2015-10-16,11.8,1014.55,,11.25,15.45,7.5,,107.5,,5.6
2015-10-17,0.0,1018.6333,,9.8,14.3667,5.9333,,75.5,,3.8
2015-10-18,3.6,1017.8333,,11.4667,16.7333,8.1333,,28.5,,5.35
2015-10-19,18.0,1015.4667,10.0,9.7333,12.7667,8.3,,22.5,,11.65
2015-10-20,0.0,1017.825,,9.3,15.075,5.4,,33.0,,5.95
2015-10-21,0.0,1019.275,,9.05,14.65,4.075,,69.0,,7.2
2015-10-22,0.0,1016.75,,9.575,13.475,6.575,,32.0,,9.75
2015-10-23,0.0,1022.025,,9.75,16.825,3.925,,68.0,,5.75
2015-10-24,0.0,1023.875,,10.075,17.5,5.725,,182.0,,6.45
2015-10-25,0.0,1023.6,,8.8,15.95,4.225,,,,2.2
2015-10-26,0.0,1024.375,,10.25,15.975,6.5,,60.0,,8.7
2015-10-27,0.0,1022.5,,10.925,16.325,8.2,,136.0,,7.5
2015-10-28,0.1,1019.125,,11.075,15.2,7.425,,122.0,,4.65
2015-10-29,3.1,1018.0,10.0,11.25,12.625,9.95,,39.5,,8.35
2015-10-30,0.0,1026.65,,11.6,16.025,7.275,,67.6667,,16.8667
2015-10-31,0.0,1033.7,,9.375,15.075,4.425,,195.0,,24.2
2015-11-01,0.0,1035.65,,7.475,13.775,3.175,,36.0,,23.55
2015-11-02,0.0,1034.75,,5.425,14.7,0.05,,30.0,,8.8
2015-11-03,0.0,1028.55,,5.725,16.35,-0.15,,274.0,,3.6
2015-11-04,0.0,1022.8,,8.15,16.625,2.15,,40.5,,4.1
2015-11-05,0.0,1022.45,,8.475,15.925,4.075,,18.0,,2.7
2015-11-06,0.0,1025.5,,8.5,17.475,3.3,,214.0,,2.45
2015-11-07,0.0,1027.925,,9.75,18.95,3.95,,318.0,,2.05
2015-11-08,0.0,1029.4,,10.75,20.8,5.175,,189.0,,2.65
2015-11-09,0.0,1025.425,,10.975,20.325,4.8,,270.0,,2.85
2015-11-10,0.0,1024.45,,10.825,18.225,7.725,,357.0,,2.1
2015-11-11,0.0,1024.5,,10.475,19.55,5.775,,288.0,,2.6
2015-11-12,0.0,1026.825,,9.85,18.5,4.775,,345.0,,2.75
2015-11-13,0.0,1027.475,,8.375,14.35,4.95,,347.0,,3.15
2015-11-14,0.0,1026.575,,8.725,14.125,5.275,,186.0,,3.35
2015-11-15,0.0,1019.35,,9.7,13.925,6.275,,233.0,,4.2667
2015-11-16,0.0,1018.275,,9.725,18.875,4.925,,279.0,,3.2
2015-11-17,0.0,1019.0,,8.375,14.1,3.15,,246.0,,3.0333
2015-11-18,0.0,1019.1,,10.5,15.35,6.325,,226.5,,6.2667
2015-11-19,0.25,1020.7,,8.625,14.7,4.275,,254.0,,4.0
2015-11-20,2.35,1010.35,,11.65,13.95,7.325,,259.0,,11.35
2015-11-21,29.35,995.45,30.0,6.625,14.275,2.0,,121.0,,10.7667
2015-11-22,1.4,1003.6,20.0,3.175,6.625,1.025,,119.5,,10.05
2015-11-23,0.0,1021.4,,1.975,5.05,-0.125,,85.5,,13.5
2015-11-24,0.0,1025.15,,2.6,4.25,1.325,,54.6667,,12.5
2015-11-25,0.2,1013.65,,1.425,3.425,0.0,,136.0,,8.275
2015-11-26,0.25,1009.575,10.0,2.15,3.95,0.625,,54.75,,8.975
2015-11-27,0.0,1014.925,,3.8,6.65,1.325,,38.3333,,15.9333
2015-11-28,0.0,1013.8,,4.1,8.4,1.725,,147.3333,,7.3
2015-11-29,0.0,1022.625,,3.475,8.975,-0.35,,104.5,,6.45
2015-11-30,0.0,1022.95,,5.05,11.8,0.45,,157.3333,,4.925
2015-12-01,0.0,1023.475,,7.65,11.775,4.375,,191.0,,4.925
2015-12-02,0.0,1029.3,,7.725,14.275,3.9,,2.0,,3.2
2015-12-03,0.05,1032.75,,5.125,8.325,2.1,,160.0,,3.2
2015-12-04,0.0,1033.5,,6.525,10.45,3.15,,182.5,,3.6333
2015-12-05,0.0,1036.45,,4.475,9.75,1.95,,159.0,,4.15
2015-12-06,0.0,1035.025,,4.175,8.85,1.375,,206.3333,,4.6
2015-12-07,0.0,1037.475,,4.1,9.8,1.075,,,,2.05
2015-12-08,0.0,1037.15,,1.675,3.625,0.275,,,,2.5
2015-12-09,0.0,1034.675,,3.475,6.025,1.85,,161.0,,3.9
2015-12-10,0.0,1037.25,,3.7,7.95,0.375,,37.5,,9.3667
2015-12-11,0.0,1032.975,,0.65,6.625,-2.225,,168.0,,4.6667
2015-12-12,0.0,1027.85,,0.8,4.4,-1.3,,92.0,,2.5
2015-12-13,0.0,1024.35,,1.375,7.475,-2.4,,,,2.7
2015-12-14,0.05,1026.875,,3.125,6.475,-0.375,,,,2.5
2015-12-15,0.0,1028.225,,4.1,8.275,1.475,,348.0,,2.7
2015-12-16,0.0,1032.125,,2.625,7.575,0.475,,148.0,,2.35
2015-12-17,0.0,1032.525,,2.65,6.3,1.025,,237.0,,4.8
2015-12-18,0.0,1028.85,,2.425,5.85,0.525,,269.3333,,3.5
2015-12-19,0.0,1029.325,,2.6,8.45,-0.025,,,,2.6
2015-12-20,0.15,1031.05,,1.675,3.95,0.1,,,,2.5
2015-12-21,0.05,1031.125,,5.05,8.675,0.35,,318.0,,6.65
2015-12-22,0.0,1033.525,,5.35,11.925,2.775,,174.6667,,4.875
2015-12-23,0.0,1032.125,,4.55,11.575,1.125,,294.0,,4.4667
2015-12-24,0.15,1032.5,,2.875,7.975,-0.025,,311.0,,2.5
2015-12-25,0.0,1034.95,,3.975,11.325,0.375,,171.5,,4.7667
2015-12-26,0.0,1034.5,,2.675,9.675,-0.2,,,,2.9
2015-12-27,0.0,1033.95,,2.475,9.35,-0.8,,,,2.05
2015-12-28,0.0,1033.175,,1.8,8.475,-1.075,,319.0,,2.85
2015-12-29,0.0,1031.275,,2.1,6.1,-1.175,,41.0,,3.45
2015-12-30,0.0,1034.65,,2.75,4.575,-0.275,,56.6667,,13.1333
2015-12-31,0.0,1032.875,,-2.075,2.1,-4.9,,99.5,,17.15
2016-01-01,0.0,1028.275,,-1.125,3.525,-4.025,,15.0,,2.45
2016-01-02,9.95,1022.55,20.0,-1.3,0.975,-4.75,,2.0,,5.9
2016-01-03,3.7,1015.525,75.0,-3.025,-1.25,-4.9,,70.0,,14.875
2016-01-04,3.75,1003.325,140.0,-3.4,-2.175,-5.95,,106.6667,,9.0
2016-01-05,4.25,1003.05,140.0,-2.75,0.1,-6.775,,33.0,,4.7
2016-01-06,0.75,1003.05,170.0,0.25,1.9,-0.825,,33.5,,10.7
2016-01-07,0.0,1004.125,160.0,0.15,5.075,-3.35,,159.3333,,4.2667
2016-01-08,3.4,1009.8,119.0,1.0,4.275,-2.825,,80.5,,3.5333
2016-01-09,18.75,1008.025,79.0,3.425,4.475,2.625,,17.0,,3.5
2016-01-10,9.15,1004.125,30.0,5.45,10.725,3.1,,120.0,,4.3
2016-01-11,11.55,997.3,,12.05,15.85,6.475,,193.5,,15.7
2016-01-12,0.0,1001.025,,6.475,12.475,2.475,,238.5,,7.425
2016-01-13,0.0,1011.7,,3.575,8.775,0.9,,226.5,,5.5
2016-01-14,6.9,1016.025,,2.35,5.45,-1.15,,112.3333,,4.8667
2016-01-15,4.5,1009.7,,2.875,5.825,0.2,,153.6667,,8.3333
2016-01-16,0.0,1015.425,,0.725,5.25,-2.125,,250.3333,,8.9
2016-01-17,1.0,1016.9,,-0.525,4.45,-4.3,,25.5,,9.55
2016-01-18,0.0,1021.6,,-2.375,1.45,-5.1,,102.6667,,7.1
2016-01-19,0.0,1019.2,,-3.675,1.2,-7.35,,75.5,,4.65
2016-01-20,0.0,1018.8,,-2.125,3.6,-6.4,,20.0,,4.05
2016-01-21,0.0,1025.275,,-1.175,5.175,-5.9,,189.0,,6.4
2016-01-22,0.0,1034.35,,-1.15,3.075,-4.55,,104.0,,11.45
2016-01-23,0.0,1034.35,,-2.975,1.5,-6.5,,9.0,,2.85
2016-01-24,0.0,1035.8,,-0.95,6.025,-6.0,,165.5,,3.9
2016-01-25,0.0,1031.2,,2.85,9.3,-0.525,,29.0,,3.4
2016-01-26,0.0,1029.5,,3.5,11.75,-0.925,,252.0,,3.9667
2016-01-27,0.0,1027.85,,4.975,13.5,-1.1,,223.0,,3.25
2016-01-28,0.0,1026.825,,6.975,12.925,3.225,,289.0,,5.425
2016-01-29,0.0,1030.275,,5.525,12.6,1.75,,158.0,,3.8667
2016-01-30,1.35,1025.525,,6.025,10.95,1.225,,277.6667,,8.075
2016-01-31,0.3,1015.1,,9.325,11.375,7.1,,261.0,,7.375
2016-02-01,0.0,1020.425,,9.2,14.65,4.95,,248.6667,,5.525
2016-02-02,0.25,1022.825,,9.575,12.175,6.075,,264.6667,,9.1
2016-02-03,29.9,1016.375,,7.95,11.825,3.525,,263.3333,,8.35
2016-02-04,3.55,1022.225,,4.675,9.55,1.475,,200.5,,5.5333
2016-02-05,0.0,1026.725,,4.3,10.225,0.2,,141.0,,5.9333
2016-02-06,0.0,1027.05,,5.6,12.0,-0.75,,260.6667,,9.1
2016-02-07,2.35,1017.825,,9.275,11.125,7.325,,199.25,,11.7
2016-02-08,12.9,1014.25,,9.775,12.7,7.325,,155.0,,8.8
2016-02-09,29.2,1009.6,,11.025,13.225,9.125,,227.3333,,12.375
2016-02-10,10.7,996.1,,5.875,10.475,2.15,,118.25,,7.525
2016-02-11,0.0,1007.85,,3.7,10.325,0.1,,178.0,,4.8667
2016-02-12,15.55,1006.475,30.0,2.1,4.575,-0.5,,210.0,,5.95
2016-02-13,9.2,996.675,61.0,4.1,8.85,1.65,,222.5,,8.5
2016-02-14,16.5,995.225,20.0,5.95,8.275,3.075,,243.0,,5.7
2016-02-15,23.7,1003.9,10.0,6.35,9.0,5.35,,,,13.3
2016-02-16,8.7,1026.5,10.0,4.8,6.725,2.95,,37.3333,,17.2667
2016-02-17,8.35,1023.075,,3.675,6.05,2.0,,249.0,,10.275
2016-02-18,8.8,1013.4,,6.5,9.25,4.9,,,,1.8
2016-02-19,6.6,1017.325,,6.025,8.4,4.225,,132.0,,3.85
2016-02-20,0.15,1023.8,,5.525,9.525,3.1,,152.3333,,10.5333
2016-02-21,0.0,1019.85,,7.425,13.3,2.325,,248.3333,,7.575
2016-02-22,0.1,1016.3,,10.325,12.875,5.725,,247.6667,,14.275
2016-02-23,7.85,1010.25,,11.25,13.25,8.2,,233.5,,10.5333
2016-02-24,0.0,1016.05,,6.475,10.225,2.6,,121.75,,11.3
2016-02-25,1.8,1012.15,,4.95,8.625,1.775,,126.0,,8.4667
2016-02-26,0.05,1013.55,,3.925,6.375,1.475,,112.25,,10.45
2016-02-27,3.85,1013.35,,2.925,6.65,-0.225,,79.0,,9.9333
2016-02-28,8.7,1013.35,,5.925,9.225,3.225,,58.0,,9.5
2016-02-29,15.05,1008.925,,7.675,10.85,5.95,,86.5,,12.1333
2016-03-01,4.5,1012.3,20.0,7.1,11.375,4.175,,171.6667,,6.9333
2016-03-02,4.05,1010.0,,6.025,13.0,1.8,,183.0,,6.95
2016-03-03,12.75,999.35,,3.825,7.875,1.85,,223.75,,10.175
2016-03-04,0.0,1004.25,,5.6,10.5,2.35,,271.0,,9.25
2016-03-05,4.8,1003.25,,7.525,11.25,2.325,,140.0,,11.275
2016-03-06,17.65,1000.8,,7.95,12.025,5.375,,232.6667,,7.825
2016-03-07,4.6,1003.825,,4.15,6.625,2.7,,136.0,,8.9
2016-03-08,7.95,1010.7,,4.6,7.35,2.75,,46.6667,,7.2
2016-03-09,0.5,1012.7333,,5.325,7.675,3.725,,59.0,,12.8
2016-03-10,0.0,1011.0667,,8.4,14.1,3.525,,217.3333,,12.7
2016-03-11,0.0,1017.5667,,8.2,10.85,7.075,,83.3333,,8.3333
2016-03-12,0.0,1021.775,,7.7,10.0,6.725,,62.6667,,11.7333
2016-03-13,0.05,1023.45,,6.875,8.775,5.75,,144.75,,17.875
2016-03-14,0.0,1025.2,,7.1,11.825,2.375,,62.5,,13.825
2016-03-15,0.95,1020.2,,3.125,6.675,-0.425,,,,6.95
2016-03-16,0.0,1026.525,,3.85,5.85,1.425,,131.5,,13.525
2016-03-17,0.0,1027.275,,6.975,13.125,2.025,,37.0,,10.05
2016-03-18,0.0,1018.175,,7.2,15.875,-0.2,,224.0,,2.75
2016-03-19,0.0,1016.675,,8.45,16.225,1.05,,211.5,,5.3
2016-03-20,0.0,1016.275,,9.225,17.0,1.875,,208.0,,4.05
2016-03-21,0.5,1015.125,,8.9,12.75,5.325,,110.6667,,5.775
2016-03-22,0.0,1007.3,,9.6667,13.8667,6.9667,,61.0,,12.2
2016-03-23,0.0,,,8.3,9.7,1.9,,,,
2016-03-24,0.0,1009.725,,7.45,12.9,2.5,,132.3333,,7.65
2016-03-25,0.0,1016.525,,7.475,13.0,1.8,,241.0,,5.775
2016-03-26,0.0,1018.475,,8.6,12.975,4.55,,,,2.5
2016-03-27,0.0,1016.725,,8.425,14.475,2.675,,174.0,,4.35
2016-03-28,0.45,1013.2,,9.275,13.1,5.025,,,,7.65
2016-03-29,0.0,1013.4667,,12.5333,17.1667,8.1667,,241.0,,7.6
2016-03-30,0.05,1017.625,,12.625,16.525,7.25,,234.6667,,10.45
2016-03-31,0.0,1016.225,,14.975,19.4,11.425,,233.6667,,14.225
2016-04-01,0.0,1015.175,,15.375,19.375,10.45,,236.0,,12.0
2016-04-02,0.0,1022.575,,12.525,17.125,8.875,,93.25,,9.7
2016-04-03,0.0,1018.75,,12.425,21.5,4.675,,180.0,,6.05
2016-04-04,0.0,1013.3,,14.675,19.925,8.275,,207.0,,12.25
2016-04-05,0.0,1010.625,,16.325,22.125,11.2,,214.5,,11.5
2016-04-06,0.0,1010.4,,15.675,22.125,9.725,,169.5,,7.0333
2016-04-07,0.0,1009.6,,14.7,20.8667,8.7667,,,,3.2
2016-04-08,7.95,1004.975,,12.8,16.45,10.25,,69.6667,,10.1667
2016-04-09,4.6,1003.925,,11.125,13.2,9.825,,106.0,,6.1
2016-04-10,0.0,1008.925,,12.525,17.675,9.25,,104.0,,5.225
2016-04-11,0.0,1012.525,,13.85,19.725,8.9,,157.0,,6.425
2016-04-12,0.0,1012.15,,14.725,20.925,7.725,,252.3333,,9.9
2016-04-13,4.5,1008.4333,,15.5,21.025,9.35,,233.0,,9.65
2016-04-14,13.65,1008.75,,12.25,16.225,7.825,,167.0,,5.925
2016-04-15,0.0,1013.125,,13.475,20.45,6.1,,171.0,,10.7
2016-04-16,0.0,1011.675,,16.45,20.825,12.25,,188.25,,14.6
2016-04-17,0.0,1011.45,,17.35,21.675,13.05,,190.25,,12.975
2016-04-18,0.1,1014.625,,14.9,18.725,11.075,,107.0,,8.75
2016-04-19,0.55,1019.325,,12.225,16.225,8.175,,75.0,,12.125
2016-04-20,0.0,1025.6,,11.1,17.425,5.1,,109.0,,6.3
2016-04-21,0.0,1024.8333,,13.4,21.0,5.5667,,163.0,,6.6
2016-04-22,0.0,1015.325,,13.925,20.525,6.05,,171.5,,6.7667
2016-04-23,5.65,1006.85,,12.525,17.75,7.125,,178.0,,6.8
2016-04-24,3.6,1004.425,,9.175,12.3,6.05,,32.0,,14.35
2016-04-25,0.0,1008.525,,7.375,12.55,3.15,,76.75,,7.15
2016-04-26,1.25,1009.0,,8.35,14.625,1.575,,54.0,,10.3
2016-04-27,21.75,1008.925,79.0,7.125,14.25,1.725,,113.3333,,12.4333
2016-04-28,1.85,1017.95,71.0,4.4,7.75,1.575,,145.3333,,12.2333
2016-04-29,0.0,1020.1,30.0,9.075,15.95,3.125,,90.3333,,9.5333
2016-04-30,0.9,1018.6333,,10.875,18.25,2.825,,,,5.4
2016-05-01,8.6,1014.1667,,10.6,12.575,8.25,,193.6667,,9.4
2016-05-02,0.55,1013.975,,12.675,15.325,10.25,,51.3333,,10.1
2016-05-03,2.05,1013.175,,14.375,19.625,10.525,,52.3333,,7.2333
2016-05-04,0.1,1016.9667,,15.0667,19.2667,10.9,,1.5,,11.75
2016-05-05,0.3,1021.9,,14.5,20.45,10.1,,95.3333,,10.5
2016-05-06,0.0,1019.175,,15.6,22.625,9.175,,141.3333,,5.275
2016-05-07,0.4,1015.2,,14.9,23.1,8.4,,196.0,,5.3333
2016-05-08,4.9,1015.95,,14.325,20.825,8.85,,96.5,,4.5333
2016-05-09,0.0,1017.9,,15.75,22.475,9.2,,164.0,,5.5
2016-05-10,0.0,1015.475,,14.775,17.625,11.4,,74.5,,4.7667
2016-05-11,10.35,1010.375,,14.4,17.65,11.875,,,,4.05
2016-05-12,18.55,1000.825,,14.825,17.05,12.925,,100.3333,,5.4667
2016-05-13,11.25,997.725,,14.45,17.2,12.225,,193.75,,12.525
2016-05-14,30.85,1003.1,,14.3,19.7,12.125,,150.3333,,6.7333
2016-05-15,5.35,1013.1,,11.45,14.025,8.65,,117.6667,,11.2
2016-05-16,0.5,1018.5,,11.225,16.775,6.7,,144.0,,6.6
2016-05-17,0.0,1018.0,,11.925,17.575,6.05,,56.0,,5.15
2016-05-18,0.05,1015.65,,14.2667,19.7667,8.1333,,120.0,,5.9667
2016-05-19,2.7,1011.275,,13.675,19.55,7.825,,127.75,,8.525
2016-05-20,0.35,1016.15,,16.1,21.325,11.725,,144.0,,8.5667
2016-05-21,0.0,1019.4,,17.35,24.225,9.275,,119.0,,5.0
2016-05-22,0.0,1016.55,,18.825,26.15,10.85,,,,6.25
2016-05-23,4.7,1010.075,,17.575,24.8,12.175,,171.0,,10.1667
2016-05-24,7.6,1008.05,,13.95,17.775,11.4,,200.25,,6.575
2016-05-25,0.0,1011.25,,17.775,25.85,10.75,,217.5,,6.1
2016-05-26,0.0,1014.825,,19.5,25.775,13.475,,119.5,,4.4333
2016-05-27,0.0,1015.6,,20.525,27.65,13.45,,197.0,,6.1333
2016-05-28,0.0,1013.1,,21.3,27.85,13.5,,216.0,,6.6667
2016-05-29,4.85,1008.475,,20.725,26.975,15.95,,207.5,,9.5667
2016-05-30,11.75,1009.05,,17.9,22.35,13.85,,198.5,,9.7
2016-05-31,3.5,1011.65,,18.025,22.8,13.975,,199.75,,10.55
2016-06-01,4.95,1012.925,,17.075,21.725,12.725,,172.0,,8.575
2016-06-02,0.05,1011.175,,17.1,21.5,13.35,,220.0,,6.425
2016-06-03,0.0,1010.275,,18.225,23.75,12.225,,143.5,,4.0333
2016-06-04,0.5,1011.375,,19.3,25.9,13.2,,213.6667,,5.575
2016-06-05,1.85,1014.125,,18.525,24.8,13.925,,152.0,,5.475
2016-06-06,0.0,1017.525,,19.775,25.975,14.925,,120.5,,5.9
2016-06-07,0.2,1020.4,,20.475,26.6,15.5,,49.3333,,6.1667
2016-06-08,2.05,1017.7,,20.025,25.625,16.15,,76.3333,,5.5
2016-06-09,12.5,1013.1,,17.65,20.2,15.925,,111.3333,,5.9333
2016-06-10,3.2,1012.15,10.0,17.975,23.325,14.7,,159.0,,8.0333
2016-06-11,15.8,1010.575,,18.6,25.15,13.15,,250.0,,6.025
2016-06-12,21.3,1009.4,,18.225,22.425,15.4,,64.5,,5.025
2016-06-13,0.3,1004.125,,19.1,24.45,14.9,,105.6667,,5.0667
2016-06-14,31.3,1001.725,,18.725,23.825,14.425,,132.6667,,5.5667
2016-06-15,3.9,1002.65,10.0,18.825,23.825,15.775,,192.25,,7.225
2016-06-16,3.15,1005.875,,21.6,27.125,15.875,,190.25,,6.725
2016-06-17,0.0,1008.25,,22.025,25.275,18.475,,214.0,,14.1333
2016-06-18,0.0,1016.525,,19.925,25.9,13.625,,87.5,,6.25
2016-06-19,4.3,1016.875,,17.175,20.725,13.2,,212.0,,11.5333
2016-06-20,2.95,1017.675,,17.7,22.7,14.05,,210.6667,,7.3333
2016-06-21,0.0,1021.7,,20.1,27.0,11.625,,211.6667,,3.8667
2016-06-22,0.0,1022.9,,23.1,28.925,15.8,,64.0,,7.8
2016-06-23,0.0,1021.8,,24.8,30.825,18.35,,67.25,,7.325
2016-06-24,0.0,1016.875,,26.675,32.75,21.0,,126.0,,5.6667
2016-06-25,1.5,1011.8,,24.875,31.375,21.075,,65.0,,6.0
2016-06-26,4.25,1013.775,,21.975,26.675,17.875,,77.5,,8.875
2016-06-27,1.6,1015.2,,20.2,23.225,17.225,,84.0,,8.6333
2016-06-28,0.0,1017.3,,20.5,26.775,13.6,,77.0,,6.7
2016-06-29,0.0,1015.525,,22.7,29.55,14.875,,258.6667,,5.2333
2016-06-30,0.0,1014.45,,23.65,29.85,16.5,,234.0,,6.4
